Cesano Boscone comune,Cesano Boscone comune.1
,
Cesano Boscone – VedutaPiazza S. Giovanni,Cesano Boscone – VedutaPiazza S. Giovanni
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Marco Pozza (PD) dall'11-06-2024
Territorio,Territorio
Coordinate,45°26′25.55″N 9°05′11.68″E
Altitudine,119 m s.l.m.
Superficie,"3,94 km²"
Abitanti,23 265[1] (30-11-2025)
Densità,"5 904,82 ab./km²"
Comuni confinanti,"Corsico, Milano, Trezzano sul Naviglio"
Altre informazioni,Altre informazioni
Cod. postale,20090
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015074
Cod. catastale,C565
Targa,MI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 404 GG[3]"
Nome abitanti,cesanesi
Patrono,"sant'Ambrogio, san Giovanni Battista"
Giorno festivo,"7 dicembre, 24 giugno"
Cartografia,Cartografia
Cesano Boscone,Cesano Boscone
Cesano Boscone – MappaPosizione del comune di Cesano Boscone all'interno della città metropolitana di Milano,Cesano Boscone – MappaPosizione del comune di Cesano Boscone all'interno della città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
