Vaprio d'Adda comune,Vaprio d'Adda comune.1
,
Vaprio d'Adda – Veduta,Vaprio d'Adda – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Marco Galli (lista civica di centro-sinistra) dal 9-6-2024
Territorio,Territorio
Coordinate,45°34′37.31″N 9°31′46.96″E
Altitudine,161 m s.l.m.
Superficie,"7,15 km²"
Abitanti,9 721[1] (30-11-2025)
Densità,"1 359,58 ab./km²"
Frazioni,Vaprio Sud
Comuni confinanti,"Canonica d'Adda (BG), Capriate San Gervasio (BG), Cassano d'Adda, Fara Gera d'Adda (BG), Grezzago, Pozzo d'Adda, Trezzo sull'Adda"
Altre informazioni,Altre informazioni
Cod. postale,20069
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015230
Cod. catastale,L667
Targa,MI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 471 GG[3]"
Nome abitanti,vapriesi
Patrono,San Nicolò
Giorno festivo,29 giugno
Cartografia,Cartografia
Vaprio d'Adda,Vaprio d'Adda
Vaprio d'Adda – MappaPosizione del comune di Vaprio d'Adda nella città metropolitana di Milano,Vaprio d'Adda – MappaPosizione del comune di Vaprio d'Adda nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
