Arconate comune,Arconate comune.1
,
Arconate – Veduta,Arconate – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Mario Mantovani (lista civica Forza e Coraggio) dal 9-6-2024
Territorio,Territorio
Coordinate,45°32′N 8°51′E
Altitudine,180 m s.l.m.
Superficie,"8,42 km²"
Abitanti,6 865[1] (30-11-2025)
Densità,"815,32 ab./km²"
Comuni confinanti,"Buscate, Busto Garolfo, Dairago, Inveruno"
Altre informazioni,Altre informazioni
Cod. postale,20020
Prefisso,0331
Fuso orario,UTC+1
Codice ISTAT,015007
Cod. catastale,A375
Targa,MI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 634 GG[3]"
Nome abitanti,arconatesi
Patrono,sant'Eusebio
Giorno festivo,ultima domenica di luglio
Cartografia,Cartografia
Arconate,Arconate
Arconate – MappaPosizione del comune di Arconate nella città metropolitana di Milano,Arconate – MappaPosizione del comune di Arconate nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
