Pozzuolo Martesana comune,Pozzuolo Martesana comune.1
,
Pozzuolo Martesana – VedutaLa chiesa della Natività di Maria Vergine,Pozzuolo Martesana – VedutaLa chiesa della Natività di Maria Vergine
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Angelo Maria Caterina (lista civica Continuare uniti) dal 9-6-2024
Territorio,Territorio
Coordinate,45°31′N 9°27′E
Altitudine,121 m s.l.m.
Superficie,"12,14 km²"
Abitanti,8 830[1] (30-11-2025)
Densità,"727,35 ab./km²"
Frazioni,"Bisentrate, Trecella, Porro, Piola, San Giuseppe, Solcia"
Comuni confinanti,"Bellinzago Lombardo, Cassano d'Adda, Gorgonzola, Inzago, Melzo, Truccazzano"
Altre informazioni,Altre informazioni
Cod. postale,20060
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015178
Cod. catastale,G965
Targa,MI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 557 GG[3]"
Nome abitanti,pozzuolesi
Cartografia,Cartografia
Pozzuolo Martesana,Pozzuolo Martesana
Pozzuolo Martesana – MappaPosizione del comune di Pozzuolo Martesana nella città metropolitana di Milano,Pozzuolo Martesana – MappaPosizione del comune di Pozzuolo Martesana nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
