Melegnano comune,Melegnano comune.1
,
"Melegnano – VedutaCollage di foto di Melegnano: la basilica di San Giovanni Battista, il castello, scorcio della città attraversata dal Lambro e il Broletto.","Melegnano – VedutaCollage di foto di Melegnano: la basilica di San Giovanni Battista, il castello, scorcio della città attraversata dal Lambro e il Broletto."
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Vito Bellomo (Forza Italia) dal 13-6-2022
Territorio,Territorio
Coordinate,45°21′31.5″N 9°19′25.57″E
Altitudine,88 m s.l.m.
Superficie,5 km²
Abitanti,18 165[1] (30-11-2025)
Densità,3 633 ab./km²
Comuni confinanti,"Carpiano, Cerro al Lambro, Colturano, San Giuliano Milanese, Vizzolo Predabissi"
Altre informazioni,Altre informazioni
Cod. postale,20077
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015140
Cod. catastale,F100
Targa,MI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 557 GG[3]"
Nome abitanti,melegnanesi
Patrono,san Giovanni Battista
Giorno festivo,"Giovedì Santo, in occasione della festa del Perdono"
Cartografia,Cartografia
Melegnano,Melegnano
Melegnano – MappaPosizione del comune di Melegnano nella città metropolitana di Milano,Melegnano – MappaPosizione del comune di Melegnano nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
