Dairago comune,Dairago comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Paola Rolfi (lista civica di centro-sinistra Civica Dairago) dal 4-10-2021
Territorio,Territorio
Coordinate,45°34′12″N 8°51′59″E
Altitudine,196 m s.l.m.
Superficie,"5,64 km²"
Abitanti,6 356[1] (30-11-2025)
Densità,"1 126,95 ab./km²"
Comuni confinanti,"Arconate, Buscate, Busto Arsizio (VA), Busto Garolfo, Legnano, Magnago, Villa Cortese"
Altre informazioni,Altre informazioni
Cod. postale,20020 e 20036
Prefisso,0331
Fuso orario,UTC+1
Codice ISTAT,015099
Cod. catastale,D244
Targa,MI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 617 GG[3]"
Nome abitanti,dairaghesi
Patrono,san Genesio di Roma
Giorno festivo,25 agosto
Cartografia,Cartografia
Dairago,Dairago
Dairago – MappaPosizione del comune di Dairago nella città metropolitana di Milano,Dairago – MappaPosizione del comune di Dairago nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
