Calvignasco comune,Calvignasco comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Giuseppe Gandini (lista civica) dal 15-5-2023
Territorio,Territorio
Coordinate,45°19′35.04″N 9°01′35.4″E
Altitudine,105 m s.l.m.
Superficie,"1,73 km²"
Abitanti,1 201[1] (30-11-2025)
Densità,"694,22 ab./km²"
Frazioni,"Bettola, Ponte"
Comuni confinanti,"Bubbiano, Casorate Primo (PV), Rosate, Vernate"
Altre informazioni,Altre informazioni
Cod. postale,20080
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015042
Cod. catastale,B448
Targa,MI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 623 GG[3]"
Nome abitanti,calvignaschesi
Cartografia,Cartografia
Calvignasco,Calvignasco
Calvignasco – MappaPosizione del comune di Calvignasco nella città metropolitana di Milano,Calvignasco – MappaPosizione del comune di Calvignasco nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
