Arese comune,Arese comune.1
,
"Arese – VedutaVia Caduti, nel centro del paese","Arese – VedutaVia Caduti, nel centro del paese"
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Luca Nuvoli (PD) dal 15-5-2023
Territorio,Territorio
Coordinate,45°33′00″N 9°04′42″E
Altitudine,160 m s.l.m.
Superficie,"6,56 km²"
Abitanti,19 558[1] (30-11-2025)
Densità,"2 981,4 ab./km²"
Frazioni,Valera
Comuni confinanti,"Bollate, Garbagnate Milanese, Lainate, Milano, Rho[2]"
Altre informazioni,Altre informazioni
Cod. postale,20044
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015009
Cod. catastale,A389
Targa,MI
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 549 GG[4]"
Nome abitanti,aresini
Patrono,Pietro e Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Arese,Arese
Arese – MappaPosizione del comune di Arese nella città metropolitana di Milano,Arese – MappaPosizione del comune di Arese nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
