Cisliano comune,Cisliano comune.1
,
Cisliano – VedutaLa chiesa di San Giovanni Battista con la piazza antistante,Cisliano – VedutaLa chiesa di San Giovanni Battista con la piazza antistante
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Ilaria Mora (lista civica di centro-destra Impegno per Cisliano) dal 15-5-2023
Territorio,Territorio
Coordinate,45°27′N 8°59′E
Altitudine,128 m s.l.m.
Superficie,"14,68 km²"
Abitanti,5 188[1] (30-11-2025)
Densità,"353,41 ab./km²"
Frazioni,"Bestazzo, San Giacomo, San Pietro Bestazzo, Cascina Scanna"
Comuni confinanti,"Albairate, Bareggio, Corbetta, Cusago, Gaggiano, Sedriano, Vittuone"
Altre informazioni,Altre informazioni
Cod. postale,20080 e 20046
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015078
Cod. catastale,C733
Targa,MI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 538 GG[3]"
Nome abitanti,cislianesi
Patrono,san Giovanni
Giorno festivo,24 giugno (con annessa sagra)
Cartografia,Cartografia
Cisliano,Cisliano
Cisliano – MappaPosizione del comune di Cisliano nella città metropolitana di Milano,Cisliano – MappaPosizione del comune di Cisliano nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
