Pioltello comune,Pioltello comune.1
,
Pioltello – VedutaLa vecchia stazione situata nella frazione Limito,Pioltello – VedutaLa vecchia stazione situata nella frazione Limito
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Ivonne Cosciotti (liste civiche - PD) dal 20-6-2016 (2º mandato dal 5-10-2021)
Territorio,Territorio
Coordinate,45°30′N 9°20′E
Altitudine,122 m s.l.m.
Superficie,"13,09 km²"
Abitanti,37 673[1] (30-11-2025)
Densità,2 878 ab./km²
Frazioni,"Limito, Rugacesio, Seggiano, Malaspina, San Felice"
Comuni confinanti,"Cernusco sul Naviglio, Peschiera Borromeo, Rodano, Segrate, Vignate, Vimodrone"
Altre informazioni,Altre informazioni
Cod. postale,20096
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015175
Cod. catastale,G686
Targa,MI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 404 GG[3]"
Nome abitanti,pioltellesi
Patrono,sant'Andrea
Giorno festivo,30 novembre
Cartografia,Cartografia
Pioltello,Pioltello
Pioltello – MappaPosizione del comune di Pioltello all'interno della città metropolitana di Milano,Pioltello – MappaPosizione del comune di Pioltello all'interno della città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
