Pessano con Bornago comune,Pessano con Bornago comune.1
,
Pessano con Bornago – VedutaVilla Castiglioni,Pessano con Bornago – VedutaVilla Castiglioni
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Alberto Villa (Forza Italia) dal 6-6-2016 (2º mandato dal 3-10-2021)
Territorio,Territorio
Coordinate,45°33′N 9°23′E
Altitudine,"148 (centro), min. 142, max. 156 m s.l.m."
Superficie,"6,66 km²"
Abitanti,9 030[1] (30-11-2025)
Densità,"1 355,86 ab./km²"
Frazioni,Bornago
Comuni confinanti,"Bussero, Cambiago, Caponago (MB), Carugate, Gessate, Gorgonzola"
Altre informazioni,Altre informazioni
Cod. postale,20042
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015172
Cod. catastale,G502
Targa,MI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 404 GG[3]"
Nome abitanti,pessanesi e bornaghesi o pesanei e burnaghitt
Patrono,Santi Vitale e Valeria (Pessano) Santi Cornelio e Cipriano (Bornago) Santa Apollonia (celebrazione comunitaria)
Giorno festivo,9 febbraio
Cartografia,Cartografia
Pessano con Bornago,Pessano con Bornago
Pessano con Bornago – MappaPosizione del comune di Pessano con Bornago nella città metropolitana di Milano,Pessano con Bornago – MappaPosizione del comune di Pessano con Bornago nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
