Cornaredo comune,Cornaredo comune.1
,
Cornaredo – VedutaLa chiesa parrocchiale di Cornaredo,Cornaredo – VedutaLa chiesa parrocchiale di Cornaredo
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Corrado D'Urbano (centro-destra) dal 9-6-2024
Territorio,Territorio
Coordinate,45°29′17.53″N 9°01′28.92″E
Altitudine,145 m s.l.m.
Superficie,"11,07 km²"
Abitanti,20 754[1] (30-11-2025)
Densità,"1 874,8 ab./km²"
Frazioni,"Cascina Croce, Cascina Torrette, Favaglie, San Pietro all'Olmo[2] Località: Castelletto"
Comuni confinanti,"Bareggio, Cusago, Pregnana Milanese, Rho, Settimo Milanese"
Altre informazioni,Altre informazioni
Cod. postale,20007
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015087
Cod. catastale,D018
Targa,MI
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 386 GG[4]"
Nome abitanti,cornaredesi
Patrono,santi Giacomo e Filippo
Giorno festivo,prima domenica di settembre
Cartografia,Cartografia
Cornaredo,Cornaredo
Cornaredo – MappaPosizione del comune di Cornaredo nella città metropolitana di Milano,Cornaredo – MappaPosizione del comune di Cornaredo nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
