Trezzo sull'Adda comune,Trezzo sull'Adda comune.1
Città di Trezzo sull'Adda,Città di Trezzo sull'Adda
,
Trezzo sull'Adda – VedutaChiesa dei Santi Gervasio e Protasio,Trezzo sull'Adda – VedutaChiesa dei Santi Gervasio e Protasio
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Diego Torri (lista civica di centro-sinistra) dal 9-6-2024
Territorio,Territorio
Coordinate,45°36′31.97″N 9°31′12.14″E
Altitudine,187 m s.l.m.
Superficie,"13,05 km²"
Abitanti,12 417[1] (30-11-2025)
Densità,"951,49 ab./km²"
Frazioni,Concesa
Comuni confinanti,"Busnago (MB), Capriate San Gervasio (BG), Cornate d'Adda (MB), Grezzago, Trezzano Rosa, Vaprio d'Adda"
Altre informazioni,Altre informazioni
Cod. postale,20056
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015221
Cod. catastale,L411
Targa,MI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 428 GG[3]"
Nome abitanti,trezzesi
Patrono,san Gaetano
Giorno festivo,7 agosto
Cartografia,Cartografia
Trezzo sull'Adda,Trezzo sull'Adda
Trezzo sull'Adda – MappaPosizione del comune di Trezzo sull'Adda nella città metropolitana di Milano,Trezzo sull'Adda – MappaPosizione del comune di Trezzo sull'Adda nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
