Melzo comune,Melzo comune.1
,
Melzo – VedutaLa parrocchiale dei Santi Alessandro e Margherita,Melzo – VedutaLa parrocchiale dei Santi Alessandro e Margherita
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Antonio Fusè (lista civica) dal 26-6-2017 (2º mandato dal 27-6-2022)
Territorio,Territorio
Coordinate,45°30′N 9°25′E
Altitudine,118 m s.l.m.
Superficie,"9,82 km²"
Abitanti,18 492[1] (30-11-2025)
Densità,"1 883,1 ab./km²"
Comuni confinanti,"Gorgonzola, Liscate, Pozzuolo Martesana, Truccazzano, Vignate"
Altre informazioni,Altre informazioni
Cod. postale,20066
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015142
Cod. catastale,F119
Targa,MI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 404 GG[3]"
Nome abitanti,melzesi
Patrono,santi Alessandro di Bergamo e Margherita di Antiochia
Giorno festivo,lunedì successivo alla Domenica delle Palme
Cartografia,Cartografia
Melzo,Melzo
Melzo – MappaPosizione del comune di Melzo nella città metropolitana di Milano,Melzo – MappaPosizione del comune di Melzo nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
