Mediglia comune,Mediglia comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Giovanni Carmine Fabiano (lista civica Per Mediglia) dal 5-10-2021
Territorio,Territorio
Coordinate,45°24′N 9°20′E
Altitudine,95 m s.l.m.
Superficie,"21,96 km²"
Abitanti,12 366[1] (30-11-2025)
Densità,"563,11 ab./km²"
Frazioni,"Gavazzo, Canobbio, Mercugnano, Mombretto, Bustighera, Robbiano, Vigliano, Bettolino, Triginto, San Martino Olearo"
Comuni confinanti,"Colturano, Dresano, Pantigliate, Paullo, Peschiera Borromeo, San Donato Milanese, San Giuliano Milanese, Settala, Tribiano"
Altre informazioni,Altre informazioni
Cod. postale,20076
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015139
Cod. catastale,F084
Targa,MI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 557 GG[3]"
Nome abitanti,medigliesi
Patrono,san Rocco
Giorno festivo,terza domenica di settembre
Cartografia,Cartografia
Mediglia,Mediglia
Mediglia – MappaPosizione del comune di Mediglia nella città metropolitana di Milano,Mediglia – MappaPosizione del comune di Mediglia nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
