Robecco sul Naviglio comune,Robecco sul Naviglio comune.1
,
Robecco sul Naviglio – VedutaVilla Gaia e il ponte degli scalini,Robecco sul Naviglio – VedutaVilla Gaia e il ponte degli scalini
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Fortunata Barni (lista civica) dal 25-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°26′N 8°53′E
Altitudine,120 m s.l.m.
Superficie,"19,79 km²"
Abitanti,6 797[1] (30-11-2025)
Densità,"343,46 ab./km²"
Frazioni,"Carpenzago, Cascinazza, Castellazzo de' Barzi, Casterno"
Comuni confinanti,"Abbiategrasso, Cassinetta di Lugagnano, Cerano (NO), Corbetta, Magenta"
Altre informazioni,Altre informazioni
Cod. postale,20087
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015184
Cod. catastale,H373
Targa,MI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 673 GG[3]"
Nome abitanti,robecchesi
Patrono,san Giovanni Battista
Giorno festivo,1ª domenica di settembre
Cartografia,Cartografia
Robecco sul Naviglio,Robecco sul Naviglio
Robecco sul Naviglio – MappaPosizione del comune di Robecco sul Naviglio nella città metropolitana di Milano,Robecco sul Naviglio – MappaPosizione del comune di Robecco sul Naviglio nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
