Ozzero comune,Ozzero comune.1
,
Ozzero – VedutaPalazzo del Municipio,Ozzero – VedutaPalazzo del Municipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Pietro Invernizzi (lista civica Tutti per Ozzero) dal 9-6-2024
Territorio,Territorio
Coordinate,45°22′N 8°55′E
Altitudine,107 m s.l.m.
Superficie,"10,97 km²"
Abitanti,1 354[1] (30-11-2025)
Densità,"123,43 ab./km²"
Frazioni,"Bugo, Cascina Barzizza, Cascina Caginola, Cascina Garibolda, Cascina Guzzafame, Cascina Santa Maria, Cascina Sega, Molino Trinchera, Santa Maria del Bosco, Soria Nuova, Soria Vecchia"
Comuni confinanti,"Abbiategrasso, Morimondo"
Altre informazioni,Altre informazioni
Cod. postale,20080
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015165
Cod. catastale,G206
Targa,MI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 604 GG[3]"
Nome abitanti,ozzeresi
Patrono,Madonna della cintura
Giorno festivo,prima domenica di settembre
Cartografia,Cartografia
Ozzero,Ozzero
Ozzero – MappaIl comune di Ozzero all'interno della città metropolitana di Milano.,Ozzero – MappaIl comune di Ozzero all'interno della città metropolitana di Milano.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
