Cerro Maggiore comune,Cerro Maggiore comune.1
,
Cerro Maggiore – VedutaPiazza Santi Cornelio e Cipriano,Cerro Maggiore – VedutaPiazza Santi Cornelio e Cipriano
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Giuseppina Berra (centro-destra) dal 10-6-2018 (2º mandato dal 15-5-2023)
Territorio,Territorio
Coordinate,45°36′N 8°57′E
Altitudine,205 m s.l.m.
Superficie,"10,12 km²"
Abitanti,15 176[1] (30-11-2025)
Densità,"1 499,6 ab./km²"
Frazioni,Cantalupo
Comuni confinanti,"Legnano, Nerviano, Origgio (VA), Parabiago, Rescaldina, San Vittore Olona, Uboldo (VA)"
Altre informazioni,Altre informazioni
Cod. postale,20023
Prefisso,0331
Fuso orario,UTC+1
Codice ISTAT,015072
Cod. catastale,C537
Targa,MI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 459 GG[3]"
Nome abitanti,"cerresi (abitanti di Cerro Maggiore), cantalupesi (abitanti di Cantalupo)"
Patrono,san Cornelio e san Cipriano
Giorno festivo,16 settembre
Cartografia,Cartografia
Cerro Maggiore,Cerro Maggiore
Cerro Maggiore – MappaPosizione del comune di Cerro Maggiore nella città metropolitana di Milano,Cerro Maggiore – MappaPosizione del comune di Cerro Maggiore nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
