Cernusco sul Naviglio comune,Cernusco sul Naviglio comune.1
Città di Cernusco sul Naviglio,Città di Cernusco sul Naviglio
,
Cernusco sul Naviglio – VedutaLa chiesa di Santa Maria Assunta,Cernusco sul Naviglio – VedutaLa chiesa di Santa Maria Assunta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Paola Colombo (centro-sinistra) dal 9-6-2025
Territorio,Territorio
Coordinate,45°31′N 9°20′E
Altitudine,134 m s.l.m.
Superficie,"13,33 km²"
Abitanti,34 834[1] (30-11-2025)
Densità,"2 613,2 ab./km²"
Frazioni,Ronco[2]
Comuni confinanti,"Brugherio (MB), Bussero, Carugate, Cassina de' Pecchi, Cologno Monzese, Pioltello, Rodano, Vignate, Vimodrone[3]"
Altre informazioni,Altre informazioni
Cod. postale,20063
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015070
Cod. catastale,C523
Targa,MI
Cl. sismica,zona 3 (sismicità bassa)[4]
Cl. climatica,"zona E, 2 404 GG[5]"
Nome abitanti,cernuschesi
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Cernusco sul Naviglio,Cernusco sul Naviglio
Cernusco sul Naviglio – MappaPosizione del comune di Cernusco sul Naviglio all'interno della città metropolitana di Milano,Cernusco sul Naviglio – MappaPosizione del comune di Cernusco sul Naviglio all'interno della città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
