Cologno Monzese comune,Cologno Monzese comune.1
,
Cologno Monzese – VedutaPiazza XI Febbraio e la chiesa antica dei Santi Marco e Gregorio,Cologno Monzese – VedutaPiazza XI Febbraio e la chiesa antica dei Santi Marco e Gregorio
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Stefano Zanelli (centro-sinistra) dal 29-5-2023
Territorio,Territorio
Coordinate,45°31′42.98″N 9°16′41.78″E
Altitudine,131[1] m s.l.m.
Superficie,"8,4 km²"
Abitanti,47 139[2] (30-11-2025)
Densità,"5 611,79 ab./km²"
Frazioni,"San Maurizio al Lambro, San Giuliano Monzese, Metallino, Bettolino"
Comuni confinanti,"Brugherio (MB), Cernusco sul Naviglio, Milano, Sesto San Giovanni, Vimodrone"
Altre informazioni,Altre informazioni
Cod. postale,20093
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015081
Cod. catastale,C895
Targa,MI
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 404 GG[4]"
Nome abitanti,colognesi
Patrono,sant'Ambrogio
Giorno festivo,7 dicembre
Cartografia,Cartografia
Cologno Monzese,Cologno Monzese
Cologno Monzese – MappaPosizione del comune di Cologno Monzese all'interno della città metropolitana di Milano,Cologno Monzese – MappaPosizione del comune di Cologno Monzese all'interno della città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
