Vizzolo Predabissi comune,Vizzolo Predabissi comune.1
,
Vizzolo Predabissi – VedutaLa chiesa di Santa Maria in Calvenzano,Vizzolo Predabissi – VedutaLa chiesa di Santa Maria in Calvenzano
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Luisa Salvatori (lista civica Viva Vizzolo viva) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°21′23.15″N 9°20′56.94″E
Altitudine,90 m s.l.m.
Superficie,"5,65 km²"
Abitanti,3 858[1] (30-11-2025)
Densità,"682,83 ab./km²"
Frazioni,"Calvenzano, Sarmazzano"
Comuni confinanti,"Casalmaiocco (LO), Cerro al Lambro, Colturano, Dresano, Melegnano, San Zenone al Lambro, Sordio (LO)"
Altre informazioni,Altre informazioni
Cod. postale,20070
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015244
Cod. catastale,M102
Targa,MI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 557 GG[3]"
Nome abitanti,vizzolesi
Patrono,Madonna del Rosario
Giorno festivo,7 ottobre
Cartografia,Cartografia
Vizzolo Predabissi,Vizzolo Predabissi
Vizzolo Predabissi – MappaPosizione del comune di Vizzolo Predabissi nella città metropolitana di Milano,Vizzolo Predabissi – MappaPosizione del comune di Vizzolo Predabissi nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
