Bellinzago Lombardo comune,Bellinzago Lombardo comune.1
,
Bellinzago Lombardo – VedutaLe pianure di Bellinzago,Bellinzago Lombardo – VedutaLe pianure di Bellinzago
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Michele Avola (lista civica) dal 15-5-2023
Territorio,Territorio
Coordinate,45°32′N 9°27′E
Altitudine,129 m s.l.m.
Superficie,"4,59 km²"
Abitanti,3 740[1] (30-11-2025)
Densità,"814,81 ab./km²"
Frazioni,Villa Fornaci
Comuni confinanti,"Gessate, Gorgonzola, Inzago, Pozzuolo Martesana"
Altre informazioni,Altre informazioni
Cod. postale,20060
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015016
Cod. catastale,A751
Targa,MI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 441 GG[3]"
Nome abitanti,bellinzaghesi
Patrono,Madonna del Rosario
Cartografia,Cartografia
Bellinzago Lombardo,Bellinzago Lombardo
Bellinzago Lombardo – MappaPosizione del comune di Bellinzago Lombardo nella città metropolitana di Milano,Bellinzago Lombardo – MappaPosizione del comune di Bellinzago Lombardo nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
