Vanzaghello comune,Vanzaghello comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Arconte Gatti (lista civica) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°35′N 8°47′E
Altitudine,194 m s.l.m.
Superficie,"5,56 km²"
Abitanti,5 397[1] (30-11-2025)
Densità,"970,68 ab./km²"
Comuni confinanti,"Castano Primo, Lonate Pozzolo (VA), Magnago, Samarate (VA)"
Altre informazioni,Altre informazioni
Cod. postale,20020
Prefisso,0331
Fuso orario,UTC+1
Codice ISTAT,015249
Cod. catastale,L664
Targa,MI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 673 GG[3]"
Nome abitanti,vanzaghellesi
Patrono,sant'Ambrogio
Cartografia,Cartografia
Vanzaghello,Vanzaghello
Vanzaghello – MappaPosizione del comune di Vanzaghello nella città metropolitana di Milano,Vanzaghello – MappaPosizione del comune di Vanzaghello nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
