Liscate comune,Liscate comune.1
,
Liscate – VedutaChiesa parrocchiale di San Giorgio,Liscate – VedutaChiesa parrocchiale di San Giorgio
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Lorenzo Fucci (lista civica) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°29′N 9°25′E
Altitudine,115 m s.l.m.
Superficie,"9,41 km²"
Abitanti,3 947[1] (30-11-2025)
Densità,"419,45 ab./km²"
Comuni confinanti,"Comazzo (LO), Melzo, Settala, Truccazzano, Vignate"
Altre informazioni,Altre informazioni
Cod. postale,20050
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015122
Cod. catastale,E610
Targa,MI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 557 GG[3]"
Nome abitanti,liscatesi
Patrono,Madonna del Rosario
Cartografia,Cartografia
Liscate,Liscate
Liscate – MappaPosizione del comune di Liscate nella città metropolitana di Milano,Liscate – MappaPosizione del comune di Liscate nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
