Motta Visconti comune,Motta Visconti comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Primo Paolo De Giuli (centro-destra) dal 25-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°17′N 9°00′E
Altitudine,100 m s.l.m.
Superficie,"10,51 km²"
Abitanti,8 264[1] (30-11-2025)
Densità,"786,3 ab./km²"
Frazioni,"Cascina Agnella, Lido"
Comuni confinanti,"Vigevano (PV), Bereguardo (PV), Besate, Casorate Primo (PV)"
Altre informazioni,Altre informazioni
Cod. postale,20086
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015151
Cod. catastale,F783
Targa,MI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 499 GG[3]"
Nome abitanti,Mottesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Motta Visconti,Motta Visconti
Motta Visconti – MappaPosizione del comune di Motta Visconti nella città metropolitana di Milano,Motta Visconti – MappaPosizione del comune di Motta Visconti nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
