Pero comune,Pero comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Antonino Abbate (centro-destra) dal 10-6-2024
Territorio,Territorio
Coordinate,45°30′38.84″N 9°04′37.19″E
Altitudine,144 m s.l.m.
Superficie,"4,98 km²"
Abitanti,11 882[1] (30-11-2025)
Densità,"2 385,94 ab./km²"
Frazioni,"Cerchiarello, Cerchiate"
Comuni confinanti,"Milano, Rho"
Altre informazioni,Altre informazioni
Cod. postale,20016
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015170
Cod. catastale,C013
Targa,MI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 404 GG[3]"
Nome abitanti,"Peresi, Perici"
Patrono,Sant'Elisabetta
Giorno festivo,2ª domenica di settembre
Soprannome,"""Benzinopoli"", ""La Briosa"""
Cartografia,Cartografia
Pero,Pero
Pero – MappaPosizione del comune di Pero all'interno della città metropolitana di Milano,Pero – MappaPosizione del comune di Pero all'interno della città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
