Trezzano Rosa comune,Trezzano Rosa comune.1
,
Trezzano Rosa – VedutaPiazza San Gottardo.,Trezzano Rosa – VedutaPiazza San Gottardo.
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Diego Cataldo (lista civica Protagonisti insieme per Trezzano) dal 26-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°34′59.12″N 9°29′19.64″E
Altitudine,170 m s.l.m.
Superficie,"3,44 km²"
Abitanti,5 431[1] (30-11-2025)
Densità,"1 578,78 ab./km²"
Comuni confinanti,"Roncello (MB), Busnago (MB), Grezzago, Pozzo d'Adda, Basiano"
Altre informazioni,Altre informazioni
Cod. postale,20060
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015219
Cod. catastale,L408
Targa,MI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 471 GG[3]"
Nome abitanti,trezzanesi
Patrono,San Gottardo e Madonna del Rosario
Giorno festivo,4 maggio e prima domenica di ottobre
Cartografia,Cartografia
Trezzano Rosa,Trezzano Rosa
Trezzano Rosa – MappaPosizione del comune di Trezzano Rosa nella città metropolitana di Milano,Trezzano Rosa – MappaPosizione del comune di Trezzano Rosa nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
