Cambiago comune,Cambiago comune.1
,
Cambiago – VedutaLa chiesa parrocchiale di San Zenone,Cambiago – VedutaLa chiesa parrocchiale di San Zenone
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Maria Grazia Mangiagalli (lista civica Uniti per Cambiago) dal 22-10-2021
Territorio,Territorio
Coordinate,45°34′N 9°25′E
Altitudine,"158, min. 148 max. 180 m s.l.m."
Superficie,"7,18 km²"
Abitanti,7 338[1] (30-11-2025)
Densità,"1 022,01 ab./km²"
Frazioni,Torrazza
Comuni confinanti,"Agrate Brianza (MB), Basiano, Cavenago di Brianza (MB), Caponago (MB), Gessate, Masate, Pessano con Bornago"
Altre informazioni,Altre informazioni
Cod. postale,20040
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015044
Cod. catastale,B461
Targa,MI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 404 GG[3]"
Nome abitanti,cambiaghesi
Patrono,San Zenone vescovo
Cartografia,Cartografia
Cambiago,Cambiago
Cambiago – MappaPosizione del comune di Cambiago nella città metropolitana di Milano,Cambiago – MappaPosizione del comune di Cambiago nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
