Pogliano Milanese comune,Pogliano Milanese comune.1
,
Pogliano Milanese – Veduta,Pogliano Milanese – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Carmine Lavanga (centro-destra) dal 26-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°32′12.07″N 8°59′25.13″E
Altitudine,164 m s.l.m.
Superficie,"4,78 km²"
Abitanti,8 481[1] (30-11-2025)
Densità,"1 774,27 ab./km²"
Frazioni,Bettolino
Comuni confinanti,"Arluno, Lainate, Nerviano, Pregnana Milanese, Rho, Vanzago"
Altre informazioni,Altre informazioni
Cod. postale,20005
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015176
Cod. catastale,G772
Targa,MI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 545 GG[3]"
Nome abitanti,poglianesi
Patrono,Pietro e Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Pogliano Milanese,Pogliano Milanese
Pogliano Milanese – MappaPosizione del comune di Pogliano Milanese nella città metropolitana di Milano,Pogliano Milanese – MappaPosizione del comune di Pogliano Milanese nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
