Lacchiarella comune,Lacchiarella comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Antonella Violi (Lista civica Lacchiarella bene comune) dal 25-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°19′30″N 9°08′24″E
Altitudine,98 m s.l.m.
Superficie,"24,04 km²"
Abitanti,9 132[1] (30-11-2025)
Densità,"379,87 ab./km²"
Frazioni,"Casirate Olona, Mettone, Villamaggiore"
Comuni confinanti,"Basiglio, Binasco, Bornasco (PV), Casarile, Giussago (PV), Pieve Emanuele, Siziano (PV), Vidigulfo (PV), Zibido San Giacomo"
Altre informazioni,Altre informazioni
Cod. postale,20084
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015115
Cod. catastale,E395
Targa,MI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 514 GG[3]"
Nome abitanti,"ciarlaschi, lacchiarellesi"
Patrono,Santa Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Lacchiarella,Lacchiarella
Lacchiarella – MappaPosizione del comune di Lacchiarella nella città metropolitana di Milano,Lacchiarella – MappaPosizione del comune di Lacchiarella nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
