Locate di Triulzi comune,Locate di Triulzi comune.1
(dettagli)  (dettagli),(dettagli)  (dettagli)
"Locate di Triulzi – VedutaIncrocio via Roma, via Diaz, via Giardino","Locate di Triulzi – VedutaIncrocio via Roma, via Diaz, via Giardino"
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Davide Serranò (lista civica Locate Domani) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°21′N 9°13′E
Altitudine,96 m s.l.m.
Superficie,"12,61 km²"
Abitanti,10 364[1] (30-11-2025)
Densità,"821,89 ab./km²"
Frazioni,"Gnignano, Moro"
Comuni confinanti,"Carpiano, Opera, Pieve Emanuele, San Donato Milanese, San Giuliano Milanese, Siziano (PV)"
Altre informazioni,Altre informazioni
Cod. postale,20085
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015125
Cod. catastale,E639
Targa,MI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 404 GG[3]"
Nome abitanti,locatesi
Patrono,san Vittore
Giorno festivo,8 maggio
Cartografia,Cartografia
Locate di Triulzi,Locate di Triulzi
Locate di Triulzi – MappaPosizione del comune di Locate di Triulzi nella città metropolitana di Milano,Locate di Triulzi – MappaPosizione del comune di Locate di Triulzi nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
