Solaro comune,Solaro comune.1
,
Solaro – VedutaLa chiesa parrocchiale dei Santi Quirico e Giulitta,Solaro – VedutaLa chiesa parrocchiale dei Santi Quirico e Giulitta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Nilde Moretti (lista civica Insieme per Solaro) dal 26-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°36′54″N 9°05′02″E
Altitudine,211 m s.l.m.
Superficie,"6,68 km²"
Abitanti,14 228[1] (30-11-2025)
Densità,"2 129,94 ab./km²"
Frazioni,"Villaggio Brollo, Sant'Anna, Introini"
Comuni confinanti,"Cesate, Saronno (VA), Caronno Pertusella (VA), Limbiate (MB) Ceriano Laghetto (MB) Bovisio Masciago (MB)"
Altre informazioni,Altre informazioni
Cod. postale,20033
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015213
Cod. catastale,I786
Targa,MI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 467 GG[3]"
Nome abitanti,solaresi
Patrono,santi Quirico e Giulitta
Giorno festivo,16 giugno
Cartografia,Cartografia
Solaro,Solaro
Solaro – MappaPosizione del comune di Solaro nella città metropolitana di Milano,Solaro – MappaPosizione del comune di Solaro nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
