San Donato Milanese comune,San Donato Milanese comune.1
,
San Donato Milanese – VedutaVeduta,San Donato Milanese – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Francesco Squeri (liste civiche di centro-sinistra) dal 27-6-2022
Territorio,Territorio
Coordinate,45°25′N 9°16′E
Altitudine,102 m s.l.m.
Superficie,"12,88 km²"
Abitanti,32 230[1] (30-11-2025)
Densità,"2 502,33 ab./km²"
Frazioni,"Poasco-Sorigherio[2], vedi anche la sezione quartieri"
Comuni confinanti,"Locate di Triulzi, Mediglia, Milano, Opera, Peschiera Borromeo, San Giuliano Milanese"
Altre informazioni,Altre informazioni
Cod. postale,20097
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015192
Cod. catastale,H827
Targa,MI
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 404 GG[4]"
Nome abitanti,sandonatesi
Patrono,san Donato
Cartografia,Cartografia
San Donato Milanese,San Donato Milanese
San Donato Milanese – MappaPosizione del comune di San Donato Milanese all'interno della città metropolitana di Milano,San Donato Milanese – MappaPosizione del comune di San Donato Milanese all'interno della città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
