Albisola Superiore comune,Albisola Superiore comune.1
,
Albisola Superiore – VedutaPanorama del litorale albisolese,Albisola Superiore – VedutaPanorama del litorale albisolese
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Savona
Amministrazione,Amministrazione
Sindaco,Maurizio Garbarini (lista civica di cdx) dal 27-5-2019 (2º mandato dal 10-6-2024)
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°20′22.21″N 8°30′36.48″E
Altitudine,10 m s.l.m.
Superficie,"28,68 km²"
Abitanti,9 484[1] (30-11-2025)
Densità,"330,68 ab./km²"
Frazioni,"Ellera, Luceto, Capo"
Comuni confinanti,"Albissola Marina, Cairo Montenotte, Celle Ligure, Pontinvrea, Savona, Stella"
Altre informazioni,Altre informazioni
Cod. postale,17011
Prefisso,019
Fuso orario,UTC+1
Codice ISTAT,009004
Cod. catastale,A166
Targa,SV
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona D, 1 490 GG[3]"
Nome abitanti,albisolesi
Patrono,san Nicolò
Giorno festivo,6 dicembre
Cartografia,Cartografia
Albisola Superiore,Albisola Superiore
Albisola Superiore – MappaPosizione del comune di Albisola Superiore nella provincia di Savona,Albisola Superiore – MappaPosizione del comune di Albisola Superiore nella provincia di Savona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
