Casanova Lerrone comune,Casanova Lerrone comune.1
,
Casanova Lerrone – VedutaPanorama della frazione-capoluogo di Borgo,Casanova Lerrone – VedutaPanorama della frazione-capoluogo di Borgo
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Savona
Amministrazione,Amministrazione
Sindaco,Marino Beneccio (lista civica Casanova uniti per crescere) dal 27-5-2019 (2º mandato dal 10-6-2024)
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°01′54.03″N 8°02′54.31″E
Altitudine,256 m s.l.m.
Superficie,"24,23 km²"
Abitanti,734[1] (30-11-2025)
Densità,"30,29 ab./km²"
Frazioni,"Bassanico, Borgo, Bosco, Degna, Maremo, Marmoreo, Vellego"
Comuni confinanti,"Borghetto d'Arroscia (IM), Cesio (IM), Garlenda, Onzo, Ortovero, Ranzo (IM), Stellanello, Testico, Vessalico (IM), Villanova d'Albenga"
Altre informazioni,Altre informazioni
Cod. postale,17033
Prefisso,0182
Fuso orario,UTC+1
Codice ISTAT,009019
Cod. catastale,B927
Targa,SV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 929 GG[3]"
Nome abitanti,casanovesi
Patrono,sant'Antonino di Apamea
Giorno festivo,2 settembre
Cartografia,Cartografia
Casanova Lerrone,Casanova Lerrone
Casanova Lerrone – MappaPosizione del comune di Casanova Lerrone nella provincia di Savona,Casanova Lerrone – MappaPosizione del comune di Casanova Lerrone nella provincia di Savona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
