Pietra Ligure comune,Pietra Ligure comune.1
,
Pietra Ligure – VedutaPanorama di Pietra Ligure,Pietra Ligure – VedutaPanorama di Pietra Ligure
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Savona
Amministrazione,Amministrazione
Sindaco,"Luigi De Vincenzi (lista civica di centro-sinistra ""Pietra. Sempre!"") dal 27-5-2019 (2º mandato dal 10-6-2024)"
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°08′55.49″N 8°16′58.14″E
Altitudine,3 m s.l.m.
Superficie,"9,88 km²"
Abitanti,8 212[1] (30-11-2025)
Densità,"831,17 ab./km²"
Frazioni,Ranzi
Comuni confinanti,"Bardineto, Boissano, Borgio Verezzi, Giustenice, Loano, Tovo San Giacomo"
Altre informazioni,Altre informazioni
Cod. postale,17027
Prefisso,019
Fuso orario,UTC+1
Codice ISTAT,009049
Cod. catastale,G605
Targa,SV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 1 285 GG[3]"
Nome abitanti,pietresi
Patrono,san Nicola di Bari
Giorno festivo,6 dicembre
Cartografia,Cartografia
Pietra Ligure,Pietra Ligure
Pietra Ligure – MappaPosizione del comune di Pietra Ligure nella provincia di Savona,Pietra Ligure – MappaPosizione del comune di Pietra Ligure nella provincia di Savona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
