Stellanello comune,Stellanello comune.1
,
Stellanello – VedutaIl torrente Merula nei pressi di Stellanello,Stellanello – VedutaIl torrente Merula nei pressi di Stellanello
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Savona
Amministrazione,Amministrazione
Sindaco,Claudio Cavallo (lista civica Stellanello Passione Valmerula) dal 6-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,44°00′04.26″N 8°03′18.19″E
Altitudine,141 m s.l.m.
Superficie,"17,81 km²"
Abitanti,809[1] (30-11-2025)
Densità,"45,42 ab./km²"
Frazioni,"San Damiano, San Gregorio (Sede comunale, in borgata Rossi), San Lorenzo, San Vincenzo, Santa Maria"
Comuni confinanti,"Andora, Casanova Lerrone, Chiusanico, Diano Arentino, Diano San Pietro, Garlenda, Testico, Villa Faraldi"
Altre informazioni,Altre informazioni
Cod. postale,17020
Prefisso,0182
Fuso orario,UTC+1
Codice ISTAT,009059
Cod. catastale,I947
Targa,SV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 594 GG[3]"
Nome abitanti,stellanellesi
Patrono,san Gregorio
Giorno festivo,3 settembre
Cartografia,Cartografia
Stellanello,Stellanello
Stellanello – MappaPosizione del comune di Stellanello nella provincia di Savona,Stellanello – MappaPosizione del comune di Stellanello nella provincia di Savona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
