Loano comune,Loano comune.1
,
Loano – VedutaPanorama di Loano dal Monte Carmo,Loano – VedutaPanorama di Loano dal Monte Carmo
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Savona
Amministrazione,Amministrazione
Sindaco,Luca Lettieri (lista civica di centro-destra Per Loano) dal 4-10-2021
Territorio,Territorio
Coordinate,44°07′44.41″N 8°15′35.36″E
Altitudine,7 m s.l.m.
Superficie,"13,48 km²"
Abitanti,10 709[1] (30-11-2025)
Densità,"794,44 ab./km²"
Frazioni,Verzi
Comuni confinanti,"Bardineto, Boissano, Borghetto Santo Spirito, Giustenice, Pietra Ligure"
Altre informazioni,Altre informazioni
Cod. postale,17025
Prefisso,019
Fuso orario,UTC+1
Codice ISTAT,009034
Cod. catastale,E632
Targa,SV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 1 337 GG[3]"
Nome abitanti,loanesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Soprannome,Isola del Ponente
Cartografia,Cartografia
Loano,Loano
Loano – MappaPosizione del comune di Loano nella provincia di Savona,Loano – MappaPosizione del comune di Loano nella provincia di Savona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
