Finale Ligure comune,Finale Ligure comune.1
,
Finale Ligure – VedutaVista da Via Belvedere,Finale Ligure – VedutaVista da Via Belvedere
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Savona
Amministrazione,Amministrazione
Sindaco,Angelo Berlangieri (lista civica di centro-destra Berlangieri Sindaco) dal 10-6-2024
Data di istituzione,1927
Territorio,Territorio
Coordinate,44°10′08.66″N 8°20′36.73″E
Altitudine,10 m s.l.m.
Superficie,"35,53 km²"
Abitanti,10 919[1] (30-11-2025)
Densità,"307,32 ab./km²"
Frazioni,"Calvisio, Gorra, Le Manie, Monticello, Olle, Perti, San Bernardino, Varigotti, Verzi[2]"
Comuni confinanti,"Borgio Verezzi, Calice Ligure, Noli, Orco Feglino, Tovo San Giacomo, Vezzi Portio"
Altre informazioni,Altre informazioni
Cod. postale,17024
Prefisso,019
Fuso orario,UTC+1
Codice ISTAT,009029
Cod. catastale,D600
Targa,SV
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona C, 1 340 GG[4]"
Nome abitanti,finarini o finalesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Finale Ligure,Finale Ligure
Finale Ligure – MappaPosizione del comune di Finale Ligure nella provincia di Savona,Finale Ligure – MappaPosizione del comune di Finale Ligure nella provincia di Savona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
