Sassello comune,Sassello comune.1
,
Sassello – VedutaPanorama di Sassello,Sassello – VedutaPanorama di Sassello
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Savona
Amministrazione,Amministrazione
Sindaco,Gian Marco Scasso (lista civica La nuova via) dal 26-5-2025
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°28′44.41″N 8°29′24.35″E
Altitudine,388 m s.l.m.
Superficie,"100,66 km²"
Abitanti,1 701[1] (30-11-2025)
Densità,"16,9 ab./km²"
Frazioni,"Maddalena, Palo, Piampaludo"
Comuni confinanti,"Arenzano (GE), Cogoleto (GE), Genova (GE), Mioglia, Pareto (AL), Pontinvrea, Ponzone (AL), Stella, Urbe, Varazze"
Altre informazioni,Altre informazioni
Cod. postale,17046
Prefisso,019
Fuso orario,UTC+1
Codice ISTAT,009055
Cod. catastale,I453
Targa,SV
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 352 GG[3]"
Nome abitanti,sassellesi
Patrono,Decollazione di san Giovanni Battista
Giorno festivo,29 agosto
Cartografia,Cartografia
Sassello,Sassello
Sassello – MappaPosizione del comune di Sassello nella provincia di Savona,Sassello – MappaPosizione del comune di Sassello nella provincia di Savona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
