Vado Ligure comune,Vado Ligure comune.1
,
Vado Ligure – VedutaPanorama del litorale vadese dal forte San Giacomo,Vado Ligure – VedutaPanorama del litorale vadese dal forte San Giacomo
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Savona
Amministrazione,Amministrazione
Sindaco,"Fabio Gilardi (lista civica di centro-sinistra Vado, Prima!) dal 10-06-2024"
Territorio,Territorio
Coordinate,44°16′09.03″N 8°26′09.85″E
Altitudine,12 m s.l.m.
Superficie,"23,79 km²"
Abitanti,7 971[1] (30-11-2025)
Densità,"335,06 ab./km²"
Frazioni,"Porto Vado, Sant'Ermete, San Genesio, Segno, Valle di Vado"
Comuni confinanti,"Bergeggi, Quiliano, Savona, Spotorno, Vezzi Portio"
Altre informazioni,Altre informazioni
Cod. postale,17047
Prefisso,019
Fuso orario,UTC+1
Codice ISTAT,009064
Cod. catastale,L528
Targa,SV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 463 GG[3]"
Nome abitanti,vadesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Vado Ligure,Vado Ligure
Vado Ligure – MappaPosizione del comune di Vado Ligure nella provincia di Savona,Vado Ligure – MappaPosizione del comune di Vado Ligure nella provincia di Savona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
