Massimino comune,Massimino comune.1
,
Massimino – VedutaPanorama di Massimino,Massimino – VedutaPanorama di Massimino
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Savona
Amministrazione,Amministrazione
Sindaco,Massimo Paoletta (lista civica Pro Massimino) dal 26-5-2014 (3º mandato dal 10-6-2024)
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°17′59.01″N 8°04′14.6″E
Altitudine,540 m s.l.m.
Superficie,"7,85 km²"
Abitanti,102[1] (30-11-2025)
Densità,"12,99 ab./km²"
Comuni confinanti,"Bagnasco (CN), Calizzano, Murialdo, Perlo (CN)"
Altre informazioni,Altre informazioni
Cod. postale,12071
Prefisso,019
Fuso orario,UTC+1
Codice ISTAT,009037
Cod. catastale,F046
Targa,SV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 614 GG[3]"
Nome abitanti,massiminesi
Patrono,san Donato d'Arezzo
Giorno festivo,7 agosto
Cartografia,Cartografia
Massimino,Massimino
Massimino – MappaPosizione del comune di Massimino nella provincia di Savona,Massimino – MappaPosizione del comune di Massimino nella provincia di Savona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
