Onzo comune,Onzo comune.1
,
Onzo – VedutaIl municipio,Onzo – VedutaIl municipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Savona
Amministrazione,Amministrazione
Sindaco,Sandro Piccardo (lista civica Onzo rinnovare per il futuro) dal 10-6-2024
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°04′12.37″N 8°03′17.81″E
Altitudine,410 m s.l.m.
Superficie,"8,23 km²"
Abitanti,208[1] (30-11-2025)
Densità,"25,27 ab./km²"
Comuni confinanti,"Aquila d'Arroscia (IM), Casanova Lerrone, Castelbianco, Nasino, Ortovero, Ranzo (IM), Vendone"
Altre informazioni,Altre informazioni
Cod. postale,17030
Prefisso,0182
Fuso orario,UTC+1
Codice ISTAT,009043
Cod. catastale,G076
Targa,SV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 229 GG[3]"
Nome abitanti,onzesi
Patrono,san Martino di Tours
Giorno festivo,11 novembre
Cartografia,Cartografia
Onzo,Onzo
Onzo – MappaPosizione del comune di Onzo nella provincia di Savona,Onzo – MappaPosizione del comune di Onzo nella provincia di Savona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
