Castelbianco comune,Castelbianco comune.1
,
"Castelbianco – VedutaLa frazione di Veravo, capoluogo comunale","Castelbianco – VedutaLa frazione di Veravo, capoluogo comunale"
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Savona
Amministrazione,Amministrazione
Sindaco,Franco Aurame (lista civica Per Castelbianco) dal 4-10-2021
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°06′46.75″N 8°04′27.12″E
Altitudine,341 m s.l.m.
Superficie,"14,7 km²"
Abitanti,316[1] (30-11-2025)
Densità,"21,5 ab./km²"
Frazioni,"Colletta di Castelbianco, Oresine, Veravo (sede comunale), Vesallo, Teccio"
Comuni confinanti,"Arnasco, Erli, Nasino, Onzo, Vendone, Zuccarello"
Altre informazioni,Altre informazioni
Cod. postale,17030
Prefisso,0182
Fuso orario,UTC+1
Codice ISTAT,009020
Cod. catastale,C063
Targa,SV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 126 GG[3]"
Nome abitanti,castelbianchesi
Patrono,santa Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Castelbianco,Castelbianco
Castelbianco – MappaPosizione del comune di Castelbianco nella provincia di Savona,Castelbianco – MappaPosizione del comune di Castelbianco nella provincia di Savona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
