Bergeggi comune,Bergeggi comune.1
,
Bergeggi – VedutaPanorama di Bergeggi,Bergeggi – VedutaPanorama di Bergeggi
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Savona
Amministrazione,Amministrazione
Sindaco,Maria Rebagliati (lista civica di centro-sinistra Uniti per Bergeggi) dal 4-10-2021
Territorio,Territorio
Coordinate,44°14′55.2″N 8°26′37.14″E
Altitudine,110 m s.l.m.
Superficie,"3,69 km²"
Abitanti,1 031[1] (30-11-2025)
Densità,"279,4 ab./km²"
Frazioni,Torre del Mare
Comuni confinanti,"Spotorno, Vado Ligure"
Altre informazioni,Altre informazioni
Cod. postale,17028
Prefisso,019
Fuso orario,UTC+1
Codice ISTAT,009010
Cod. catastale,A796
Targa,SV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 769 GG[3]"
Nome abitanti,bergeggini
Patrono,san Martino di Tours
Giorno festivo,11 novembre
Cartografia,Cartografia
Bergeggi,Bergeggi
Bergeggi – MappaPosizione del comune di Bergeggi nella provincia di Savona,Bergeggi – MappaPosizione del comune di Bergeggi nella provincia di Savona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
