Urbe comune,Urbe comune.1
,
Urbe – VedutaPanorama della frazione di San Pietro,Urbe – VedutaPanorama della frazione di San Pietro
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Savona
Amministrazione,Amministrazione
Sindaco,Fabrizio Antoci (lista civica di centro-sinistra Urbe riparte) dal 26-5-2014 (3º mandato dal 10-6-2024)
Data di istituzione,1929
Territorio,Territorio
Coordinate,44°29′15.28″N 8°35′31.03″E
Altitudine,540 m s.l.m.
Superficie,"31,17 km²"
Abitanti,649[1] (30-11-2025)
Densità,"20,82 ab./km²"
Frazioni,"Acquabianca, Martina (sede comunale), San Pietro, Vara Inferiore, Vara Superiore"
Comuni confinanti,"Ponzone (AL), Sassello, Tiglieto (GE), Genova (GE)"
Altre informazioni,Altre informazioni
Cod. postale,17048
Prefisso,019
Fuso orario,UTC+1
Codice ISTAT,009063
Cod. catastale,L499
Targa,SV
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 658 GG[3]"
Nome abitanti,urbaschi
Patrono,san Giacomo Maggiore
Giorno festivo,25 luglio
Cartografia,Cartografia
Urbe,Urbe
Urbe – MappaPosizione del comune di Urbe nella provincia di Savona,Urbe – MappaPosizione del comune di Urbe nella provincia di Savona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
