Albissola Marina comune,Albissola Marina comune.1
,
Albissola Marina – VedutaIl litorale di Albissola Marina,Albissola Marina – VedutaIl litorale di Albissola Marina
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Savona
Amministrazione,Amministrazione
Sindaco,Gianluca Nasuti (lista civica Albissola del fare) dal 26-5-2014 (3º mandato dal 10-6-2024)
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°19′38.2″N 8°30′11.17″E
Altitudine,3 m s.l.m.
Superficie,"3,25 km²"
Abitanti,5 126[1] (30-11-2025)
Densità,"1 577,23 ab./km²"
Comuni confinanti,"Albisola Superiore, Savona"
Altre informazioni,Altre informazioni
Cod. postale,17012
Prefisso,019
Fuso orario,UTC+1
Codice ISTAT,009003
Cod. catastale,A165
Targa,SV
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona D, 1 490 GG[3]"
Nome abitanti,albissolesi
Patrono,Nostra Signora della Concordia
Giorno festivo,8 settembre
Cartografia,Cartografia
Albissola Marina,Albissola Marina
Albissola Marina – MappaPosizione del comune di Albissola Marina nella provincia di Savona,Albissola Marina – MappaPosizione del comune di Albissola Marina nella provincia di Savona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
