Erli comune,Erli comune.1
,
Erli – VedutaPanorama di Erli,Erli – VedutaPanorama di Erli
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Savona
Amministrazione,Amministrazione
Sindaco,Sergio Bruno (lista civica Per Erli) dal 27-5-2019 (2º mandato dal 10-6-2024)
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°08′14.18″N 8°06′14.75″E
Altitudine,287 m s.l.m.
Superficie,"16,73 km²"
Abitanti,245[1] (30-11-2025)
Densità,"14,64 ab./km²"
Frazioni,"Bassi[2], Berrioli, Gazzo"
Comuni confinanti,"Castelbianco, Castelvecchio di Rocca Barbena, Garessio (CN), Nasino, Zuccarello"
Altre informazioni,Altre informazioni
Cod. postale,17030
Prefisso,0182
Fuso orario,UTC+1
Codice ISTAT,009028
Cod. catastale,D424
Targa,SV
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona D, 1 983 GG[4]"
Nome abitanti,erlesi
Patrono,santa Caterina d'Alessandria
Giorno festivo,25 novembre
Cartografia,Cartografia
Erli,Erli
Erli – MappaPosizione del comune di Erli nella provincia di Savona,Erli – MappaPosizione del comune di Erli nella provincia di Savona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
