Andora comune,Andora comune.1
,
Andora – VedutaPanorama di Andora e del promontorio di Capo Mele da Capo Mimosa,Andora – VedutaPanorama di Andora e del promontorio di Capo Mele da Capo Mimosa
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Savona
Amministrazione,Amministrazione
Sindaco,Mauro Demichelis (lista civica di centro-destra Andora Più) dal 26-5-2014 (3º mandato dal 10-6-2024)
Data di istituzione,1861
Territorio,Territorio
Coordinate,43°57′30.8″N 8°08′22.05″E
Altitudine,10 m s.l.m.
Superficie,"31,8 km²"
Abitanti,7 255[1] (30-11-2025)
Densità,"228,14 ab./km²"
Frazioni,"Castello, Colla Micheri, Conna, Rollo, San Bartolomeo, San Giovanni, San Pietro"
Comuni confinanti,"Alassio, Cervo (IM), Garlenda, Laigueglia, San Bartolomeo al Mare (IM), Stellanello, Villa Faraldi (IM), Villanova d'Albenga"
Altre informazioni,Altre informazioni
Cod. postale,17051
Prefisso,0182
Fuso orario,UTC+1
Codice ISTAT,009006
Cod. catastale,A278
Targa,SV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 195 GG[3]"
Nome abitanti,andoresi
Patrono,san Giacomo il Minore e san Filippo apostolo
Giorno festivo,3 maggio
Cartografia,Cartografia
Andora,Andora
Andora – MappaPosizione del comune di Andora nella provincia di Savona,Andora – MappaPosizione del comune di Andora nella provincia di Savona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
