Osiglia comune,Osiglia comune.1
,
Osiglia – VedutaPanorama di Osiglia,Osiglia – VedutaPanorama di Osiglia
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Savona
Amministrazione,Amministrazione
Sindaco,Paola Scarzella (lista civica Insieme per Osiglia) dal 27-5-2019 (2º mandato dal 10-6-2024)
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°16′52.23″N 8°12′04.01″E
Altitudine,715 m s.l.m.
Superficie,"28,17 km²"
Abitanti,403[1] (30-11-2025)
Densità,"14,31 ab./km²"
Frazioni,"Barberis, Cavallotti, Giacchini, Monte, Orticeti, Ponzi, Ronchi"
Comuni confinanti,"Bormida, Calizzano, Magliolo, Millesimo, Murialdo, Pallare, Rialto"
Altre informazioni,Altre informazioni
Cod. postale,17010
Prefisso,019
Fuso orario,UTC+1
Codice ISTAT,009046
Cod. catastale,G155
Targa,SV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 044 GG[3]"
Nome abitanti,osigliesi
Patrono,Santissimo Nome di Maria
Giorno festivo,12 settembre
Cartografia,Cartografia
Osiglia,Osiglia
Osiglia – MappaPosizione del comune di Osiglia nella provincia di Savona,Osiglia – MappaPosizione del comune di Osiglia nella provincia di Savona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
