Magliolo comune,Magliolo comune.1
,
Magliolo – VedutaPanorama di Magliolo,Magliolo – VedutaPanorama di Magliolo
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Savona
Amministrazione,Amministrazione
Sindaco,Enrico Lanfranco (lista civica Magliolo domani) dall'8-6-2009 (4º mandato dal 10-6-2024)
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°11′29.62″N 8°15′00.86″E
Altitudine,270 m s.l.m.
Superficie,"19,57 km²"
Abitanti,992[1] (30-11-2025)
Densità,"50,69 ab./km²"
Frazioni,"Canova, Isallo, Melogno"
Comuni confinanti,"Bardineto, Calizzano, Giustenice, Osiglia, Rialto, Tovo San Giacomo"
Altre informazioni,Altre informazioni
Cod. postale,17020
Prefisso,019
Fuso orario,UTC+1
Codice ISTAT,009035
Cod. catastale,E816
Targa,SV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 991 GG[3]"
Nome abitanti,magliolesi
Patrono,santo Antonio Abate
Giorno festivo,17 gennaio
Cartografia,Cartografia
Magliolo,Magliolo
Magliolo – MappaPosizione del comune di Magliolo nella provincia di Savona,Magliolo – MappaPosizione del comune di Magliolo nella provincia di Savona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
