Cengio comune,Cengio comune.1
,
Cengio – VedutaPanorama di Cengio,Cengio – VedutaPanorama di Cengio
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Savona
Amministrazione,Amministrazione
Sindaco,Francesco Dotta (lista civica di centro-destra Cengio nel cuore) dal 10-6-2018 (2º mandato dal 15-5-2023)
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°23′15.9″N 8°12′30.45″E
Altitudine,409 m s.l.m.
Superficie,"18,96 km²"
Abitanti,3 474[1] (30-11-2025)
Densità,"183,23 ab./km²"
Comuni confinanti,"Cairo Montenotte, Cosseria, Millesimo, Montezemolo (CN), Roccavignale, Saliceto (CN)"
Altre informazioni,Altre informazioni
Cod. postale,17056
Prefisso,019
Fuso orario,UTC+1
Codice ISTAT,009023
Cod. catastale,C463
Targa,SV
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 421 GG[3]"
Nome abitanti,cengesi
Patrono,santa Caterina da Siena
Giorno festivo,29 aprile
Cartografia,Cartografia
Cengio,Cengio
Cengio – MappaPosizione del comune di Cengio nella provincia di Savona,Cengio – MappaPosizione del comune di Cengio nella provincia di Savona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
