Savona comune,Savona comune.1
,
Savona – VedutaVeduta di Savona,Savona – VedutaVeduta di Savona
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Savona
Amministrazione,Amministrazione
Sindaco,Marco Russo (indipendente di centro-sinistra) dal 19-10-2021
Territorio,Territorio
Coordinate,44°18′29″N 8°28′52″E
Altitudine,4 m s.l.m.
Superficie,"65,32 km²"
Abitanti,58 500[1] (30-11-2025)
Densità,"895,59 ab./km²"
Frazioni,"Bosco delle Ninfe, Ciantagalletto, Ciatti, Cimavalle, Conca Verde, Galleria Ranco, Madonna del Monte, Marmorassi, Maschio, Montemoro, Naso di Gatto, San Bartolomeo al Bosco, San Bernardo in Valle, Santuario e Strà."
Comuni confinanti,"Albissola Marina, Albisola Superiore, Altare, Cairo Montenotte, Quiliano, Vado Ligure"
Altre informazioni,Altre informazioni
Cod. postale,17100
Prefisso,019
Fuso orario,UTC+1
Codice ISTAT,009056
Cod. catastale,I480
Targa,SV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 481 GG[3]"
Nome abitanti,savonesi
Patrono,Nostra Signora della Misericordia
Giorno festivo,18 marzo
Cartografia,Cartografia
Savona,Savona
Savona – MappaPosizione del comune di Savona nell'omonima provincia,Savona – MappaPosizione del comune di Savona nell'omonima provincia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
