Borgio Verezzi comune,Borgio Verezzi comune.1
,
Borgio Verezzi – VedutaPanorama da Verezzi su Borgio Verezzi e il golfo di Pietra Ligure,Borgio Verezzi – VedutaPanorama da Verezzi su Borgio Verezzi e il golfo di Pietra Ligure
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Savona
Amministrazione,Amministrazione
Sindaco,Renato Dacquino (lista civica Nuova via per Borgio Verezzi) dal 16-5-2011 (3º mandato dal 4-10-2021)
Data di istituzione,1933
Territorio,Territorio
Coordinate,44°09′36.01″N 8°18′16.68″E
Altitudine,10 m s.l.m.
Superficie,"2,73 km²"
Abitanti,2 079[1] (30-11-2025)
Densità,"761,54 ab./km²"
Frazioni,"Borgio (sede comunale), Verezzi"
Comuni confinanti,"Finale Ligure, Pietra Ligure, Tovo San Giacomo"
Altre informazioni,Altre informazioni
Cod. postale,17022
Prefisso,019
Fuso orario,UTC+1
Codice ISTAT,009013
Cod. catastale,B005
Targa,SV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 1 351 GG[3]"
Nome abitanti,"borgesi, verezzini"
Patrono,san Pietro apostolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Borgio Verezzi,Borgio Verezzi
Borgio Verezzi – MappaPosizione del comune di Borgio Verezzi nella provincia di Savona,Borgio Verezzi – MappaPosizione del comune di Borgio Verezzi nella provincia di Savona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
