Calizzano comune,Calizzano comune.1
,
Calizzano – VedutaPiazza del centro storico,Calizzano – VedutaPiazza del centro storico
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Savona
Amministrazione,Amministrazione
Sindaco,Pierangelo Olivieri [1] (lista civica di centro-destra Obiettivo comune per Calizzano) dal 7-5-2012 (3º mandato dal 13-6-2022)
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°14′06.99″N 8°06′55.45″E
Altitudine,648 m s.l.m.
Superficie,"62,74 km²"
Abitanti,1 462[2] (30-11-2025)
Densità,"23,3 ab./km²"
Frazioni,"Caragna, Mereta, Vetria"
Comuni confinanti,"Bagnasco (CN), Bardineto, Bormida, Garessio (CN), Magliolo, Massimino, Murialdo, Osiglia, Priola (CN), Rialto"
Altre informazioni,Altre informazioni
Cod. postale,17057
Prefisso,019
Fuso orario,UTC+1
Codice ISTAT,009017
Cod. catastale,B416
Targa,SV
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 927 GG[4]"
Nome abitanti,calizzanesi
Patrono,Madonna delle Grazie
Giorno festivo,2 luglio
Cartografia,Cartografia
Calizzano,Calizzano
Calizzano – MappaPosizione del comune di Calizzano nella provincia di Savona,Calizzano – MappaPosizione del comune di Calizzano nella provincia di Savona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
