Millesimo comune,Millesimo comune.1
,
Millesimo – VedutaPanorama di Millesimo e del fiume omonimo,Millesimo – VedutaPanorama di Millesimo e del fiume omonimo
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Savona
Amministrazione,Amministrazione
Sindaco,Francesco Garofano (lista civica di centro-destra Noi Millesimo) dal 10-6-2024
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°21′51.84″N 8°12′21.37″E
Altitudine,429 m s.l.m.
Superficie,"15,96 km²"
Abitanti,3 334[1] (30-11-2025)
Densità,"208,9 ab./km²"
Frazioni,"Acquafredda, Borda"
Comuni confinanti,"Cengio, Cosseria, Murialdo, Osiglia, Pallare, Plodio, Roccavignale"
Altre informazioni,Altre informazioni
Cod. postale,17017
Prefisso,019
Fuso orario,UTC+1
Codice ISTAT,009038
Cod. catastale,F213
Targa,SV
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 334 GG[3]"
Nome abitanti,millesimesi
Patrono,Madonna del Carmine
Giorno festivo,16 luglio
Cartografia,Cartografia
Millesimo,Millesimo
Millesimo – MappaPosizione del comune di Millesimo nella provincia di Savona,Millesimo – MappaPosizione del comune di Millesimo nella provincia di Savona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
