Dego comune,Dego comune.1
,
Dego – VedutaPanorama di Dego,Dego – VedutaPanorama di Dego
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Savona
Amministrazione,Amministrazione
Sindaco,Franco Siri (lista civica di centro-destra Tutti per Dego) dal 27-5-2019 (2º mandato dal 10-6-2024)
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°26′57.55″N 8°18′39.54″E
Altitudine,317 m s.l.m.
Superficie,"66,82 km²"
Abitanti,1 824[1] (30-11-2025)
Densità,"27,3 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Cairo Montenotte, Castelletto Uzzone (CN), Giusvalla, Gottasecca (CN), Piana Crixia, Spigno Monferrato (AL)"
Altre informazioni,Altre informazioni
Cod. postale,17058
Prefisso,019
Fuso orario,UTC+1
Codice ISTAT,009027
Cod. catastale,D264
Targa,SV
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 105 GG[3]"
Nome abitanti,deghesi
Patrono,sant'Ambrogio
Giorno festivo,7 dicembre
Cartografia,Cartografia
Dego,Dego
Dego – MappaPosizione del comune di Dego nella provincia di Savona,Dego – MappaPosizione del comune di Dego nella provincia di Savona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
