Roccavignale comune,Roccavignale comune.1
,
Roccavignale – VedutaIl municipio di Roccavignale,Roccavignale – VedutaIl municipio di Roccavignale
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Savona
Amministrazione,Amministrazione
Sindaco,Amedeo Fracchia (lista civica Vivere Roccavignale) dal 26-5-2014 (3º mandato dal 10-6-2024)
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°21′41.9″N 8°11′34.17″E
Altitudine,521 m s.l.m.
Superficie,"17,71 km²"
Abitanti,756[1] (30-11-2025)
Densità,"42,69 ab./km²"
Frazioni,"Camponuovo, Pianissolo, Strada, Valzemola (sede comunale)"
Comuni confinanti,"Castelnuovo di Ceva (CN), Cengio, Millesimo, Montezemolo (CN), Murialdo"
Altre informazioni,Altre informazioni
Cod. postale,17017
Prefisso,019
Fuso orario,UTC+1
Codice ISTAT,009054
Cod. catastale,H452
Targa,SV
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 594 GG[3]"
Nome abitanti,roccavignalesi
Patrono,sant'Antonio da Padova
Giorno festivo,13 giugno
Cartografia,Cartografia
Roccavignale,Roccavignale
Roccavignale – MappaPosizione del comune di Roccavignale nella provincia di Savona,Roccavignale – MappaPosizione del comune di Roccavignale nella provincia di Savona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
