Pontinvrea comune,Pontinvrea comune.1
,
Pontinvrea – VedutaIl centro di Pontinvrea,Pontinvrea – VedutaIl centro di Pontinvrea
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Savona
Amministrazione,Amministrazione
Sindaco,Matteo Camiciottoli (lista civica SìAmo Pontinvrea) dall'8-6-2009 (4º mandato dal 10-6-2024)
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°26′41.15″N 8°26′04.69″E
Altitudine,425 m s.l.m.
Superficie,"24,95 km²"
Abitanti,814[1] (30-11-2025)
Densità,"32,63 ab./km²"
Frazioni,Giovo Ligure
Comuni confinanti,"Albisola Superiore, Cairo Montenotte, Giusvalla, Mioglia, Sassello, Stella"
Altre informazioni,Altre informazioni
Cod. postale,17042
Prefisso,019
Fuso orario,UTC+1
Codice ISTAT,009051
Cod. catastale,G866
Targa,SV
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 325 GG[3]"
Nome abitanti,pontesini
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Pontinvrea,Pontinvrea
Pontinvrea – MappaPosizione del comune di Pontinvrea nella provincia di Savona,Pontinvrea – MappaPosizione del comune di Pontinvrea nella provincia di Savona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
