Noli comune,Noli comune.1
,
Noli – VedutaPanorama di Noli,Noli – VedutaPanorama di Noli
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Savona
Amministrazione,Amministrazione
Sindaco,Ambrogio Repetto (lista civica Prospettiva Noli) dal 13-6-2022
Territorio,Territorio
Coordinate,44°12′20.49″N 8°24′58.14″E
Altitudine,2 m s.l.m.
Superficie,"9,67 km²"
Abitanti,2 382[1] (30-11-2025)
Densità,"246,33 ab./km²"
Frazioni,"Tosse, Voze"
Comuni confinanti,"Finale Ligure, Spotorno, Vezzi Portio"
Altre informazioni,Altre informazioni
Cod. postale,17026
Prefisso,019
Fuso orario,UTC+1
Codice ISTAT,009042
Cod. catastale,F926
Targa,SV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 1 379 GG[3]"
Nome abitanti,nolesi
Patrono,sant'Eugenio
Giorno festivo,seconda domenica di luglio
Cartografia,Cartografia
Noli,Noli
Noli – MappaPosizione del comune di Noli nella provincia di Savona,Noli – MappaPosizione del comune di Noli nella provincia di Savona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
