Orco Feglino comune,Orco Feglino comune.1
,
Orco Feglino – VedutaPanorama della borgata di Feglino,Orco Feglino – VedutaPanorama della borgata di Feglino
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Savona
Amministrazione,Amministrazione
Sindaco,Simone Durante (lista civica Progetto comune) dal 10-6-2024
Data di istituzione,1869
Territorio,Territorio
Coordinate,44°13′10.29″N 8°19′29.98″E
Altitudine,161 m s.l.m.
Superficie,"17,31 km²"
Abitanti,903[1] (30-11-2025)
Densità,"52,17 ab./km²"
Frazioni,"Orco, Feglino"
Comuni confinanti,"Calice Ligure, Finale Ligure, Mallare, Quiliano, Vezzi Portio"
Altre informazioni,Altre informazioni
Cod. postale,17024
Prefisso,019
Fuso orario,UTC+1
Codice ISTAT,009044
Cod. catastale,D522
Targa,SV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 694 GG[3]"
Nome abitanti,orchesi e feglinesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Orco Feglino,Orco Feglino
Orco Feglino – MappaPosizione del comune di Orco Feglino nella provincia di Savona,Orco Feglino – MappaPosizione del comune di Orco Feglino nella provincia di Savona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
