Provincia di Savona provincia,Provincia di Savona provincia.1
,
"Provincia di Savona – VedutaL'Amministrazione provinciale, sede della provincia","Provincia di Savona – VedutaL'Amministrazione provinciale, sede della provincia"
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Amministrazione,Amministrazione
Capoluogo,Savona
Presidente,Pierangelo Oliveri (centro-destra) dal 1-11-2018
Data di istituzione,1927
Territorio,Territorio
Coordinate del capoluogo,44°18′26.41″N 8°29′50.82″E
Superficie,"1 546,29 km²"
Abitanti,267 035[1] (31-10-2025)
Densità,"172,69 ab./km²"
Comuni,69 comuni
Province confinanti,"Genova, Imperia, Alessandria, Asti, Cuneo"
Altre informazioni,Altre informazioni
Cod. postale,"17100, 17010-17047, 12071"
Prefisso,"019, 0182"
Fuso orario,UTC+1
ISO 3166-2,IT-SV
Codice ISTAT,009
Targa,SV
Cartografia,Cartografia
Provincia di Savona – Localizzazione,Provincia di Savona – Localizzazione
Provincia di Savona – MappaPosizione della provincia di Savona all'interno della Liguria.,Provincia di Savona – MappaPosizione della provincia di Savona all'interno della Liguria.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
