Celle Ligure comune,Celle Ligure comune.1
,
Celle Ligure – VedutaVeduta serale di Celle Ligure,Celle Ligure – VedutaVeduta serale di Celle Ligure
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Savona
Amministrazione,Amministrazione
Sindaco,Marco Beltrame (lista civica SìAmo Celle) dal 10-6-2024
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°20′31.56″N 8°32′44.07″E
Altitudine,4 m s.l.m.
Superficie,"9,56 km²"
Abitanti,4 829[1] (30-11-2025)
Densità,"505,13 ab./km²"
Frazioni,"Boschi, Brasi, Cassisi, Costa, Ferrari, Lavadore, Natta, Piani, Pecorile, Sanda, Terrenin[2]"
Comuni confinanti,"Albisola Superiore, Stella, Varazze"
Altre informazioni,Altre informazioni
Cod. postale,17015
Prefisso,019
Fuso orario,UTC+1
Codice ISTAT,009022
Cod. catastale,C443
Targa,SV
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona D, 1 490 GG[4]"
Nome abitanti,cellesi o cellaschi
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Celle Ligure,Celle Ligure
Celle Ligure – MappaPosizione del comune di Celle Ligure nella provincia di Savona,Celle Ligure – MappaPosizione del comune di Celle Ligure nella provincia di Savona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
