Cisano sul Neva comune,Cisano sul Neva comune.1
,
Cisano sul Neva – VedutaIl borgo di Cisano visto da Via Delautra,Cisano sul Neva – VedutaIl borgo di Cisano visto da Via Delautra
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Savona
Amministrazione,Amministrazione
Sindaco,Massimo Niero (lista civica Civica 24) dal 26-5-2014 (3º mandato dal 10-06-2024)
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°05′14.36″N 8°08′42.07″E
Altitudine,52 m s.l.m.
Superficie,"12,27 km²"
Abitanti,2 137[1] (30-11-2025)
Densità,"174,16 ab./km²"
Frazioni,"Cenesi, Conscente, Martinetto, Pianboschi"
Comuni confinanti,"Albenga, Arnasco, Balestrino, Ceriale, Zuccarello"
Altre informazioni,Altre informazioni
Cod. postale,17035
Prefisso,0182
Fuso orario,UTC+1
Codice ISTAT,009025
Cod. catastale,C729
Targa,SV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 1 310 GG[3]"
Nome abitanti,cisanesi
Patrono,santa Maria Maddalena
Giorno festivo,22 luglio
Cartografia,Cartografia
Cisano sul Neva,Cisano sul Neva
Cisano sul Neva – MappaPosizione del comune di Cisano sul Neva nella provincia di Savona,Cisano sul Neva – MappaPosizione del comune di Cisano sul Neva nella provincia di Savona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
